epoch,train_loss,train_acc,val_loss,val_acc
1,0.09072137901362966,0.9719768919000665,0.008579589277140946,0.997882765712903
2,0.009588708060628198,0.9972324723247232,0.005549463521197402,0.9982457201621197
3,0.006951936241356122,0.9980491198354606,0.006308901909536758,0.9984876897949307
4,0.0056522704301590196,0.9985330591010828,0.003905378873185488,0.9989111366523501
5,0.004544116498075424,0.9986994132236404,0.0038018583014908266,0.9987296594277418
6,0.003998439355776973,0.9989565059585022,0.005363938734193672,0.9987296594277418
7,0.0048069461449037915,0.9985784284072349,0.0022736917283212423,0.9994555683261751
8,0.003998821641933981,0.9988960135502994,0.0023754742203332367,0.9996370455507834
9,0.0039011715053229043,0.9988808904482488,0.003634522203560693,0.999213598693364
10,0.004278063030092155,0.9988052749379953,0.004345797216300902,0.9990926138769585
11,0.003732937186308448,0.9989565059585022,0.0027123021774118268,0.9992740911015667
12,0.004023054176303403,0.998865767346198,0.004095571457734304,0.9989111366523501
13,0.004558027737570684,0.9985784284072349,0.005758614703924333,0.9984271973867279
14,0.004093716276024902,0.998820398040046,0.0036484747047619416,0.9990321214687556
15,0.003931446054749534,0.9989413828564515,0.003583631383995764,0.999213598693364
16,0.0038912293904404234,0.9988355211420966,0.004523211010154584,0.9987901518359446
17,0.003509920926160289,0.9991984755913133,0.002491912171857402,0.9993345835097696
18,0.003929476988502176,0.9989716290605529,0.004336131973037663,0.9990321214687556
19,0.0035028156212547523,0.9991228600810598,0.0027967438186724796,0.999213598693364
20,0.003831147577129621,0.9988808904482488,0.0031378479772152215,0.9991531062851612
